"","dn0_lo10","dn0_med","dn0_up90","rn0_lo10","rn0_med","rn0_up90","gamman_lo10","gamman_med","gamman_up90","bioassay_mortality"
"1",0.423581663865869,0.472801405880229,0.502663249867762,0.47838168000369,0.492449340666509,0.517671184313127,2.63259948698669,3.240921267599,4.14268604609194,1
"2",0.423249668914804,0.472561338196129,0.502518419031042,0.478438622190478,0.492571099752957,0.517839015207926,2.62808406601188,3.23356749316798,4.13562271908402,0.99
"3",0.422914380641288,0.472341060512178,0.502371088096094,0.478496789803092,0.492682867269761,0.518008440731521,2.62363111359081,3.22667233213607,4.12455201646157,0.98
"4",0.42257573861652,0.472035130466507,0.502207694361307,0.478561579876944,0.49283816984533,0.518179488728862,2.61938564952368,3.21988775219659,4.11514806245368,0.97
"5",0.422233680729035,0.471755248660717,0.502030790727297,0.478632052381634,0.49298033077677,0.518352187789603,2.61587867648317,3.21304807853131,4.11001510236499,0.96
"6",0.421888143120819,0.471560537588706,0.501782449798632,0.478731544022606,0.493079268942428,0.518526567275499,2.61214498031605,3.20706285755562,4.09624525855621,0.95
"7",0.421615766003648,0.471363296727005,0.501650718020692,0.478784573994383,0.493179527718373,0.518663970816747,2.60842822127504,3.20059499486412,4.09119318567764,0.94
"8",0.421355705667493,0.471101226755211,0.501486853273439,0.478850788271462,0.493312794127976,0.518795115482108,2.60473574826283,3.19336888312337,4.08446869325916,0.93
"9",0.421092738483918,0.470718018173902,0.501321127845505,0.478918025065201,0.493507766889898,0.518927680502246,2.60101814032012,3.18724102420254,4.07554782706399,0.92
"10",0.420424692505986,0.470338916260796,0.50112235845141,0.478999028278267,0.493700771707274,0.519264254681409,2.59756683730544,3.18015025728401,4.06653886585823,0.91
"11",0.4200458736685,0.470042467336943,0.500924836209691,0.479079902379713,0.493851778573693,0.51945497757837,2.59417422532839,3.17292978516641,4.0571666191988,0.9
"12",0.419731347532817,0.469674603214862,0.500776534396791,0.479140849633522,0.494039260723553,0.519613258181731,2.59067493204547,3.16720673549118,4.04759492258025,0.89
"13",0.419453968098013,0.469384615514871,0.500657562861434,0.479189879045584,0.494187125848185,0.519752790108047,2.58697606275414,3.16170603060502,4.03792630858983,0.88
"14",0.418968899519798,0.469102418205591,0.500432960018787,0.479282814019417,0.494331079054306,0.519996671482125,2.58279623955122,3.15558164364399,4.02922148639662,0.87
"15",0.418501999623433,0.468715848270837,0.500124864005464,0.479411021284721,0.494528368412062,0.520231266168673,2.57787072580785,3.15046312705271,4.02311421179554,0.86
"16",0.418167209901268,0.468293769784937,0.499884379762252,0.479511657492981,0.494743900710185,0.520399389082984,2.57317519917018,3.14580217358458,4.01694224411909,0.85
"17",0.417857972071336,0.467907545164715,0.499645331656285,0.479612172916213,0.494941231189329,0.520554611152167,2.5685665600143,3.13991218579978,4.01070414934154,0.84
"18",0.417545236298865,0.467629564383005,0.499500717607613,0.479673204425225,0.495083318469764,0.520711520893547,2.56391928509197,3.13344538483018,4.00439844435255,0.83
"19",0.417257355743675,0.467348971676181,0.499288084444651,0.479763247630716,0.495226791641994,0.520855899008989,2.55923261303462,3.12692066873431,3.99802359466739,0.82
"20",0.416908959511966,0.467038736242018,0.499021439982331,0.479876669363822,0.495385478805343,0.521030548479577,2.55475199906997,3.11978817494685,3.99084478364137,0.81
"21",0.416585256138668,0.466771596646955,0.498746142383689,0.479994344990153,0.495522168728008,0.521192741886474,2.54858550315637,3.11048001606373,3.98300788580982,0.8
"22",0.416195179861555,0.466376821711888,0.498586903591908,0.480062650531781,0.495724244976253,0.521388079026632,2.54286162531272,3.10071556674945,3.97706567525911,0.79
"23",0.415857543738249,0.465958692774069,0.498523208623288,0.480090021261842,0.495938374107237,0.521557075347841,2.53830541604141,3.09285488999215,3.97105920385434,0.78
"24",0.415336586832913,0.465563142829834,0.49839573463495,0.480144905085355,0.49614103062609,0.521817682473224,2.53336155999107,3.08535415735048,3.96498695991964,0.77
"25",0.414676756146545,0.465182549540202,0.498348499166549,0.480165269936771,0.496336100701343,0.522147461664303,2.52712139589505,3.07784741666239,3.95875023692978,0.76
"26",0.413976477355684,0.46480099068405,0.498192228254647,0.480232761097709,0.496531734693379,0.522497098805724,2.52128934082448,3.071202312963,3.94533888419733,0.75
"27",0.413414672578397,0.464408877859346,0.497959324447541,0.48033366309328,0.496732855545329,0.522777330462663,2.51654909142404,3.06399874573092,3.93121460084305,0.74
"28",0.412931725187717,0.46402153481505,0.497693155467624,0.480449432823674,0.496931602276325,0.523018031111075,2.51221958437198,3.05509417391762,3.91690953857557,0.73
"29",0.412442567294117,0.46365000463099,0.497373439686361,0.480589118674314,0.497122299331615,0.523261639565107,2.50677772279207,3.04618867761654,3.90433044462436,0.72
"30",0.411969960314223,0.463171127640309,0.497046097630837,0.480732823069788,0.49736818343114,0.523496837496137,2.50106823278847,3.0385392248507,3.89374672692368,0.71
"31",0.411476602351209,0.46257280043699,0.496719960575475,0.480876671475355,0.497675529269093,0.523742181672751,2.49410445740032,3.03124725233763,3.88024463690084,0.7
"32",0.410809034492658,0.462169945980571,0.496385490238255,0.481024874544032,0.497882544990299,0.524073860520809,2.48566321723803,3.02210537005063,3.86614350013712,0.69
"33",0.410130895405927,0.461720223061479,0.49621388580452,0.481101158270184,0.498113714949643,0.524410424865596,2.47867333338028,3.01357662977512,3.85132368796753,0.68
"34",0.409511204326484,0.461078220742704,0.496077163412403,0.481162060997312,0.49844383536477,0.524717654416241,2.47399672771188,3.00330842021409,3.83960855767539,0.67
"35",0.408939537351482,0.460660737755171,0.495820917077173,0.481276501306182,0.498658579309001,0.525000795507535,2.46948929947354,2.99317435038808,3.8245947226144,0.66
"36",0.408266224767059,0.460269749304807,0.495566476977138,0.481390498839468,0.498859741789103,0.525333937252342,2.46494854122426,2.9830818039288,3.81286459582127,0.65
"37",0.407559010934145,0.459712584712305,0.495241631446974,0.481536556768038,0.499146475066332,0.525683450005204,2.45847139587854,2.97652816184419,3.80458580701075,0.64
"38",0.406839720798168,0.458987229025505,0.494913825407965,0.481684518519753,0.499519883053112,0.526038502060029,2.45294545908898,2.97065740881479,3.79619511874569,0.63
"39",0.406122985634971,0.458495957833011,0.49457104820664,0.481839831498878,0.499772856207184,0.526391862653976,2.44552605972972,2.96233915943941,3.78765107242209,0.62
"40",0.405406150333607,0.457929889075464,0.494212781417219,0.482002793231583,0.500064404830021,0.526744834951439,2.43895398041234,2.9531780955276,3.77351494308835,0.61
"41",0.404789922801663,0.457392445991422,0.49366608861308,0.482252666531804,0.500341267128813,0.527047910161352,2.43013888222194,2.94495584379441,3.75844109134497,0.6
"42",0.404237565696671,0.456924633408766,0.493074236675588,0.482524749364542,0.500582298382836,0.527319287369085,2.42269162898609,2.93684783649299,3.74356577846099,0.59
"43",0.403692818175282,0.456400544210503,0.492744033143947,0.482677229059876,0.500852364064525,0.52758666652313,2.41422122975454,2.92716094057822,3.73608090955728,0.58
"44",0.40317557542017,0.455673804041244,0.492467181980604,0.482805435914194,0.501226915060745,0.527840312531802,2.40635120958464,2.91902197230658,3.72824086016075,0.57
"45",0.40227482249357,0.455001705974063,0.492133169782302,0.482960542134206,0.501573353954236,0.52828144458134,2.39657302370084,2.90888312724607,3.71349412417194,0.56
"46",0.401305891102572,0.454521204155105,0.491667641675705,0.483177483531217,0.501821056371032,0.528755150042584,2.38719678163921,2.90136480074323,3.69818992477768,0.55
"47",0.400299472376228,0.453821574163676,0.491187599187994,0.483402086748315,0.502181746714643,0.529246274776146,2.38164702274784,2.89187075673419,3.6834413267694,0.54
"48",0.399302384968386,0.453147226019777,0.490692365322349,0.483634717438643,0.502529423335167,0.529731927962042,2.37240018895012,2.88161310944978,3.66883594394092,0.53
"49",0.398334415739386,0.452383932495424,0.490207328257016,0.483863440547891,0.502922968379492,0.530202510469877,2.36500482657985,2.87040938169986,3.66533985013443,0.52
"50",0.397752103272428,0.451765901150239,0.489682778244998,0.48411172027378,0.503241617437698,0.530485165572051,2.35669173255838,2.86169864597447,3.66079398050942,0.51
"51",0.397173970157214,0.451152004976593,0.489118490486511,0.484379833107237,0.503558126093438,0.530765478794769,2.34877566052098,2.85341733205104,3.64641433207101,0.5
"52",0.396518129591499,0.45053163229446,0.488548065605096,0.484651925118711,0.503877958296589,0.53108308529962,2.34184979196687,2.84390638753871,3.63178460514235,0.49
"53",0.395813236179138,0.449921689173785,0.487979104278352,0.484924331182547,0.504192391509585,0.531423985899756,2.33375633341048,2.83495520249546,3.61857996804811,0.48
"54",0.394841652265355,0.448976575617419,0.487539122513477,0.485135655770896,0.504679550644443,0.531893082414328,2.32694188275696,2.82413227469653,3.60633817584801,0.47
"55",0.393850663285899,0.448068700921915,0.487184547856172,0.485306354675971,0.505147428733596,0.532370583055583,2.31825649200058,2.8122162357994,3.5990196915421,0.46
"56",0.393098916616083,0.447190693124823,0.48692950662733,0.485429344068791,0.505599814664916,0.532732150005273,2.3106671799804,2.80540765656561,3.58424770215459,0.45
"57",0.392267180551956,0.446609858163792,0.486700112098232,0.485540130503069,0.505899021879069,0.53313152815172,2.3004105434335,2.79193871740959,3.57410735888258,0.44
"58",0.391624135399883,0.445949611690323,0.486414412996998,0.485678308775013,0.50623906821012,0.53343982035689,2.28903144136345,2.78099701454049,3.56402826950313,0.43
"59",0.391035718113134,0.44519287782213,0.485622789106097,0.486062297474547,0.506628709598925,0.533721548491191,2.27608646359496,2.76979998509676,3.55097080582705,0.42
"60",0.389901001235964,0.444465386721574,0.484958213116577,0.486385870030948,0.50700318508176,0.534263849539502,2.26597701274732,2.76044526041099,3.54065002381152,0.41
"61",0.389070094429976,0.443588476741501,0.484125436110849,0.48679284914777,0.507454418346187,0.534660101580372,2.2552850926187,2.75035009709334,3.53060260082434,0.4
"62",0.388238554935379,0.442421240955507,0.483203074719535,0.487245385456462,0.508054755015163,0.535055931318827,2.24716810953281,2.73724177876809,3.52039850635343,0.39
"63",0.387379603855132,0.441456574966313,0.482254972262968,0.487712413392774,0.508550631061734,0.535464041292805,2.23737226614945,2.72586630939838,3.5065360405778,0.38
"64",0.386501055889049,0.440490410399352,0.481497065651108,0.488087038309205,0.50904700687456,0.535880647963523,2.22717130298962,2.71917276529248,3.49807026515285,0.37
"65",0.385602002684414,0.439509414797708,0.481185226992858,0.488241491992387,0.509550704896093,0.536306118108152,2.21708736265367,2.70704916499973,3.48901473586221,0.36
"66",0.38468146895736,0.438329704733772,0.480845872531955,0.48840977612697,0.510156009507159,0.536740844224966,2.20289785613771,2.69431376467257,3.47554077979292,0.35
"67",0.383738405563444,0.437058519171612,0.48050672133165,0.488578165089812,0.510807694685332,0.537185247104216,2.19170696498598,2.6810762346994,3.45989451447834,0.34
"68",0.382771681628847,0.436025972110696,0.479827666571485,0.488915911498333,0.51133658612857,0.537639778738587,2.18144238451083,2.66778885170042,3.44527836617004,0.33
"69",0.381740860564314,0.434675746419061,0.478988087868902,0.489334542705796,0.512027546818102,0.53812329027237,2.16783736855387,2.65399720577794,3.42234997111348,0.32
"70",0.380364059257484,0.433573752708574,0.478281054559355,0.489687943472617,0.512590900579032,0.538767233793321,2.15865792667118,2.63862096657096,3.40903191684296,0.31
"71",0.379029033908344,0.432235174228915,0.477397539765364,0.490130591952031,0.513274461695925,0.539389539702645,2.15082688143981,2.62602763916267,3.39416293460941,0.3
"72",0.37756349824287,0.431013376506013,0.476550802585486,0.49055583250485,0.513897649849015,0.540070361323128,2.13769969501185,2.60844912393063,3.36525944024222,0.29
"73",0.376621883545155,0.429805521855833,0.475944238811224,0.490861035851038,0.514512997677423,0.540506424304061,2.12616388934148,2.59268269966213,3.35085679544342,0.28
"74",0.375027900582482,0.428057985240193,0.475205104701433,0.491233564381294,0.515401948591647,0.541242282371783,2.11505404057384,2.57568475678429,3.33592082613325,0.27
"75",0.373501656987904,0.42630441440034,0.474174208494444,0.491754221904865,0.516292289105054,0.541943991634188,2.10253508292157,2.5592298733711,3.31655435544847,0.26
"76",0.371825744807208,0.425027810737664,0.473362295832246,0.492165095048426,0.516939361829896,0.542711259193488,2.08668659219386,2.53995361499434,3.29883043289378,0.25
"77",0.370456358849723,0.42377335941744,0.472493823696774,0.492605350052166,0.517574255569125,0.5433356190955,2.06850227581688,2.52273309302289,3.28611306603604,0.24
"78",0.368264896505631,0.422477762732805,0.471323264908093,0.493199886521285,0.518228960764306,0.544329951820138,2.05069605487058,2.50560479217585,3.27615947964392,0.23
"79",0.366603440737094,0.42095066649036,0.469904186192796,0.493922248896156,0.518999282656336,0.545079744007955,2.03723372139749,2.4891733201505,3.25580601397752,0.22
