DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
100045,0.790642845,0.011698804,0.197658351,0.283578506,0.254925748,0.177957437,-0.08980294,-0.019250502,-0.023675767,-0.119372124,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.029802564,0.017884228,0,0,0,0,0.058515091,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,1.61096
100046,0.799999483,2.52E-06,0.199998,0.285198556,0.276964192,-0.007220454,-0.056622344,-0.020019776,-0.051348565,-0.023472379,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.029802564,0.017884228,0,0,0,0,0.18765145,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,3.84095
100047,0.7999953,6.66E-06,0.199998,0.2853337,0.3196277,0.01094271,-0.01475725,-0.002371281,-0.06181393,-0.01463673,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.02980256,0.01788423,0,0,0,0,0.1449749,3,2,10,0.3079509,0.1056014,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,3.10622
100048,0.7999104,9.18E-05,0.1999979,0.2851454,0.3020393,0.01625297,-0.04297848,-0.04366524,-0.0664365,-0.04789011,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.02980256,0.01788423,0,0,0,0,0.2282506,3,2,10,0.3079509,0.1056014,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,4.42135
100049,0.7979248,0.002077182,0.199998,0.2853899,0.3768291,0.05370607,0.06956935,0.02371392,-0.04055702,-0.0162958,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.02980256,0.01788423,0,0,0,0,0.2935157,3,2,10,0.3079509,0.1056014,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,6.82069
100050,0.05360142,0.8202469,0.1261517,0.2852096,0.3649126,0.1846895,0.02022228,0.1271099,-0.1032626,-0.03084554,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04112503,3,2,10,0.3079509,0.1056014,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,1.85808
100051,0.7999917,1.29E-05,0.1999954,0.2849496,0.2346931,0.08151422,-0.07713766,-0.08540826,-0.02003316,-0.06502834,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.02980256,0.01788423,0,0,0,0,0.200957,3,2,10,0.3079509,0.1056014,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,3.98936
100052,0.798328,0.002092574,0.1995794,0.2846638,0.2370558,0.1412634,-0.07483656,-0.08730734,-0.002921322,-0.09375955,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.02980256,0.01788423,0,0,0,0,0.1882448,3,2,10,0.3079509,0.1056014,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,3.85866
100176,0.4337454,0.3662737,0.1999809,0.2850796,0.2226609,0.1179145,-0.05945378,-8.97E-04,-0.00662562,-0.02564606,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.1189743,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,6.36337
100177,0.3701469,0.448133,0.1817201,0.2852369,0.2324696,0.1138,-0.04658105,0.006409586,-0.01363279,-0.03075866,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.05693594,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,4.06684
100178,0.3982205,0.4174126,0.1843669,0.285102,0.2339783,0.1164779,-0.04890578,0.01026869,-0.01501874,-0.0286806,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.06654987,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,4.31329
100179,0.6475796,0.1607581,0.1916623,0.2848034,0.2591934,0.1183758,-0.03346582,3.85E-04,-0.01374909,-0.03523035,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.07993667,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,4.61028
100180,0.6581396,0.1418624,0.199998,0.2845754,0.23798,0.1505943,-0.05092022,-0.002344004,0.003831146,-0.04751103,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.3689047,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,17.30837
100181,0.6550041,0.1450062,0.1999897,0.2854954,0.2079504,0.1066541,-0.05694498,-0.008991089,0.009419067,-0.0269417,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.1846488,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,8.53679
100182,0.5334346,0.2665825,0.1999828,0.2845712,0.2613207,0.1292287,-0.03268553,0.009830368,-0.008952778,-0.03697735,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.1698887,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,8.69222
100183,0.6178001,0.1822019,0.199998,0.2848391,0.2330729,0.12709,-0.06445852,0.001202646,-0.009293694,-0.03329436,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.2881494,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,13.46845
100184,0.5079783,0.2920237,0.199998,0.2850562,0.2191397,0.1130545,-0.0783786,0.002563054,-0.01467498,-0.02295174,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.1582802,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,7.97754
100185,0.2877985,0.5302944,0.1819071,0.2853514,0.1829081,0.1321509,-0.101894,0.007496832,8.81E-04,-0.02657174,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.3704182,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,18.97733
100186,0.7259471,0.08000979,0.1940431,0.2850369,0.2726259,0.119983,-0.02887876,-0.008732919,-0.01709991,-0.04534645,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.1331379,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,6.621
100187,0.4886678,0.311391,0.1999412,0.2850257,0.2303961,0.1161875,-0.06479541,-1.26E-04,-0.01698114,-0.02888429,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.09862218,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,5.50842
100188,0.4205701,0.3796843,0.1997456,0.2848666,0.1945097,0.1417421,-0.09669212,-0.01448137,-0.001962061,-0.04941665,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.3315201,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,16.29458
100189,0.4702741,0.3300608,0.1996651,0.2851852,0.250703,0.1193619,-0.0432027,0.005372077,-0.0177863,-0.03252034,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.121673,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,6.75808
100190,0.5050305,0.2950558,0.1999137,0.2852491,0.2091733,0.1228781,-0.0865439,0.004245794,-0.003979575,-0.02530417,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.2535877,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,12.05699
100191,0.7459564,0.05407277,0.1999708,0.2845427,0.2753282,0.1278681,-0.02753773,0.000792337,-0.01920962,-0.05575397,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.2104841,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,10.12247
100192,0.7271557,0.07284635,0.199998,0.2847674,0.2648363,0.1393057,-0.02951463,-0.004834304,-0.00404171,-0.05538098,0.0504,0.011,0.0149,0,0.0315,0.0509,0.1087,0.1796,0.1683,0.3256,0.4282,0.4899,0.5953,0.6592,0.6382,0.631,0.9244,0.9472,0.6928,0.8728,0,0.017625,0.03525,0.052875,0.0705,0.072,0.17355,0.2751,0.2068,0.1385,0.0702,0.0019,0.127,0.1091,0.005857038,0,0,0,0,0,0.3035259,3,2,10,0.4807174,0.04206378,0.8038558,0.1873797,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,14.40411
